store_id,product_id,stock_on_hand,reorder_level,last_restocked_date
STR-0001,PROD-00001,413,82,2021-01-01
STR-0001,PROD-00002,55,11,2021-01-01
STR-0001,PROD-00003,492,98,2021-01-01
STR-0001,PROD-00004,455,91,2021-01-01
STR-0001,PROD-00005,291,58,2021-01-01
STR-0001,PROD-00006,207,41,2021-01-01
STR-0001,PROD-00007,467,93,2021-01-01
STR-0001,PROD-00008,299,59,2021-01-01
STR-0001,PROD-00009,365,73,2021-01-01
STR-0001,PROD-00010,79,15,2021-01-01
STR-0002,PROD-00001,231,76,2025-09-10
STR-0002,PROD-00002,368,38,2025-09-13
STR-0002,PROD-00003,340,85,2025-09-13
STR-0002,PROD-00004,212,88,2025-09-11
STR-0002,PROD-00005,306,39,2025-09-13
STR-0002,PROD-00006,72,51,2025-09-11
STR-0002,PROD-00007,140,37,2025-09-13
STR-0002,PROD-00008,227,47,2025-09-10
STR-0002,PROD-00009,133,16,2025-09-09
STR-0002,PROD-00010,84,24,2025-09-12
STR-0003,PROD-00001,151,71,2025-09-09
STR-0003,PROD-00002,207,18,2025-09-13
STR-0003,PROD-00003,187,76,2025-09-10
STR-0003,PROD-00004,137,39,2025-09-10
STR-0003,PROD-00005,213,58,2025-09-11
STR-0003,PROD-00006,420,48,2025-09-12
STR-0003,PROD-00007,264,49,2025-09-11
STR-0003,PROD-00008,163,53,2025-09-08
STR-0003,PROD-00009,247,39,2025-09-10
STR-0003,PROD-00010,262,73,2025-09-11
STR-0004,PROD-00001,199,68,2025-09-09
STR-0004,PROD-00002,239,26,2025-09-12
STR-0004,PROD-00003,256,57,2025-09-13
STR-0004,PROD-00004,109,86,2025-09-09
STR-0004,PROD-00005,74,15,2025-09-09
STR-0004,PROD-00006,244,20,2025-09-10
STR-0004,PROD-00007,323,68,2025-09-12
STR-0004,PROD-00008,140,69,2025-09-10
STR-0004,PROD-00009,29,25,2025-09-11
STR-0004,PROD-00010,378,83,2025-09-12
STR-0005,PROD-00001,174,15,2025-09-13
STR-0005,PROD-00002,356,96,2025-09-12
STR-0005,PROD-00003,58,35,2025-09-10
STR-0005,PROD-00004,217,44,2025-09-10
STR-0005,PROD-00005,225,56,2025-09-10
STR-0005,PROD-00006,367,77,2025-09-11
STR-0005,PROD-00007,112,73,2025-09-10
STR-0005,PROD-00008,380,83,2025-09-13
STR-0005,PROD-00009,513,79,2025-09-13
STR-0005,PROD-00010,348,84,2025-09-13
STR-0006,PROD-00001,304,56,2025-09-10
STR-0006,PROD-00002,459,27,2025-09-13
STR-0006,PROD-00003,71,69,2025-09-11
STR-0006,PROD-00004,128,28,2025-09-09
STR-0006,PROD-00005,407,84,2025-09-12
STR-0006,PROD-00006,197,29,2025-09-08
STR-0006,PROD-00007,177,14,2025-09-09
STR-0006,PROD-00008,330,51,2025-09-13
STR-0006,PROD-00009,251,31,2025-09-12
STR-0006,PROD-00010,324,91,2025-09-11
STR-0007,PROD-00001,172,78,2025-09-09
STR-0007,PROD-00002,261,46,2025-09-11
STR-0007,PROD-00003,415,57,2025-09-11
STR-0007,PROD-00004,80,45,2025-09-09
STR-0007,PROD-00005,161,85,2025-09-09
STR-0007,PROD-00006,425,22,2025-09-12
STR-0007,PROD-00007,236,67,2025-09-11
STR-0007,PROD-00008,363,28,2025-09-11
STR-0007,PROD-00009,231,87,2025-09-13
STR-0007,PROD-00010,137,83,2025-09-09
STR-0008,PROD-00011,456,63,2025-09-13
STR-0008,PROD-00012,170,37,2025-09-10
STR-0008,PROD-00013,291,74,2025-09-10
STR-0008,PROD-00014,442,21,2025-09-12
STR-0008,PROD-00015,345,59,2025-09-11
STR-0008,PROD-00016,182,51,2025-09-12
STR-0008,PROD-00017,158,65,2025-09-07
STR-0008,PROD-00018,282,18,2025-09-13
STR-0009,PROD-00011,153,72,2025-09-10
STR-0009,PROD-00012,273,34,2025-09-11
STR-0009,PROD-00013,64,38,2025-09-08
STR-0009,PROD-00014,311,39,2025-09-11
STR-0009,PROD-00015,438,86,2025-09-12
STR-0009,PROD-00016,397,52,2025-09-13
STR-0009,PROD-00017,421,15,2025-09-13
STR-0009,PROD-00018,79,69,2025-09-09
STR-0010,PROD-00019,306,12,2025-09-13
